Dataset,Porosity,Permeability,Q1_Local_Thickness,Mean_Local_Thickness,Max_Local_Thickness
Spherical_Pores,0.49859606481481483,1615.53564453125,5.265637581930931,7.449318010090669,10.891451493412363
Spherical_Pores,0.49859606481481483,1615.53564453125,5.265637581930931,7.449318010090672,10.891451493412363
Spherical_Pores,0.49859606481481483,1615.53564453125,5.265637581930931,7.44931801009067,10.891451493412363
Spherical_Pores,0.49859606481481483,1615.53564453125,5.265637581930931,7.449318010090673,10.891451493412363
Spherical_Pores,0.5079751157407407,1614.3919677734375,5.265637581930931,7.617279509271822,10.891451493412363
Spherical_Pores,0.5079751157407407,1614.3919677734375,5.265637581930931,7.617279509271826,10.891451493412363
Spherical_Pores,0.5079751157407407,1614.3919677734375,5.265637581930931,7.617279509271822,10.891451493412363
Spherical_Pores,0.5079751157407407,1614.3919677734375,5.265637581930931,7.61727950927183,10.891451493412363
Spherical_Pores,0.5228871527777778,2486.304931640625,5.841732280409697,7.648875703799016,10.891451493412363
Spherical_Pores,0.5228871527777778,2486.304931640625,5.841732280409697,7.648875703799017,10.891451493412363
Spherical_Pores,0.5228871527777778,2486.304931640625,5.841732280409697,7.648875703799016,10.891451493412363
Spherical_Pores,0.5228871527777778,2486.304931640625,5.841732280409697,7.648875703799017,10.891451493412363
Spherical_Pores,0.5065914351851852,2003.42431640625,5.528774695602264,7.610714082282209,12.99999958354357
Spherical_Pores,0.5065914351851852,2003.42431640625,5.528774695602264,7.610714082282211,12.99999958354357
Spherical_Pores,0.5065914351851852,2003.42431640625,5.528774695602264,7.610714082282214,12.99999958354357
Spherical_Pores,0.5065914351851852,2003.4241943359375,5.528774695602264,7.610714082282211,12.99999958354357
Spherical_Pores,0.4983315972222222,1168.18994140625,5.3484812343451775,7.590424022793608,12.36931685293693
Spherical_Pores,0.4983315972222222,1168.18994140625,5.3484812343451775,7.590424022793604,12.36931685293693
Spherical_Pores,0.4983315972222222,1168.18994140625,5.3484812343451775,7.590424022793609,12.36931685293693
Spherical_Pores,0.4983315972222222,1168.18994140625,5.3484812343451775,7.590424022793606,12.36931685293693
Spherical_Pores,0.525912037037037,2944.78271484375,5.841732280409697,7.636099121620473,10.891451493412363
Spherical_Pores,0.525912037037037,2944.78271484375,5.841732280409697,7.636099121620475,10.891451493412363
Spherical_Pores,0.525912037037037,2944.78271484375,5.841732280409697,7.636099121620475,10.891451493412363
Spherical_Pores,0.525912037037037,2944.78271484375,5.841732280409697,7.636099121620477,10.891451493412363
Spherical_Pores,0.5182465277777778,2282.88330078125,5.841732280409697,7.82907551190373,10.891451493412363
Spherical_Pores,0.5182465277777778,2282.88330078125,5.841732280409697,7.829075511903725,10.891451493412363
Spherical_Pores,0.5182465277777778,2282.88330078125,5.841732280409697,7.829075511903727,10.891451493412363
Spherical_Pores,0.5182465277777778,2282.88330078125,5.841732280409697,7.829075511903723,10.891451493412363
Spherical_Pores,0.5196568287037037,2308.872314453125,5.841732280409697,7.688880254499012,10.891451493412363
Spherical_Pores,0.5196568287037037,2308.872314453125,5.841732280409697,7.688880254499011,10.891451493412363
Spherical_Pores,0.5196568287037037,2308.872314453125,5.841732280409697,7.688880254499011,10.891451493412363
Spherical_Pores,0.5196568287037037,2308.872314453125,5.841732280409697,7.6888802544990105,10.891451493412363
Spherical_Pores,0.504410300925926,1444.54541015625,5.265637581930931,7.542845335225473,10.891451493412363
Spherical_Pores,0.504410300925926,1444.54541015625,5.265637581930931,7.542845335225469,10.891451493412363
Spherical_Pores,0.504410300925926,1444.54541015625,5.265637581930931,7.542845335225472,10.891451493412363
Spherical_Pores,0.504410300925926,1444.54541015625,5.265637581930931,7.54284533522547,10.891451493412363
Spherical_Pores,0.526933449074074,1526.15771484375,5.841732280409697,7.737936679391248,10.891451493412363
Spherical_Pores,0.526933449074074,1526.15771484375,5.841732280409697,7.737936679391253,10.891451493412363
Spherical_Pores,0.526933449074074,1526.15771484375,5.841732280409697,7.73793667939125,10.891451493412363
Spherical_Pores,0.526933449074074,1526.15771484375,5.841732280409697,7.737936679391249,10.891451493412363
Spherical_Pores,0.5038784722222223,5308.88623046875,6.851333642654918,9.268555462077162,13.513086916487314
Spherical_Pores,0.5038784722222223,5308.88623046875,6.851333642654918,9.268555462077162,13.513086916487314
Spherical_Pores,0.5038784722222223,5308.88623046875,6.851333642654918,9.268555462077153,13.513086916487314
