epoch,MAE,MSE,loss,val_MAE,val_MSE,val_loss
0,0.8304525017738342,1.3714443445205688,1.3714441061019897,0.6287886500358582,1.0009875297546387,1.0009875297546387
1,0.6340905427932739,0.8466993570327759,0.8466992378234863,0.47819286584854126,0.5811492800712585,0.5811492204666138
2,0.5812849998474121,0.7265926003456116,0.7265928983688354,0.7307512164115906,1.3048171997070312,1.3048171997070312
3,0.5335085988044739,0.6364081501960754,0.6364082098007202,0.7085682153701782,1.3224601745605469,1.3224601745605469
4,0.5135322213172913,0.5914279222488403,0.5914278626441956,0.4701269268989563,0.5279547572135925,0.5279547572135925
5,0.48591288924217224,0.5441064238548279,0.5441061854362488,0.6558311581611633,1.2122215032577515,1.2122215032577515
6,0.47380897402763367,0.5173641443252563,0.5173641443252563,1.0612713098526,2.560338020324707,2.560338020324707
7,0.4584692120552063,0.49254491925239563,0.4925449788570404,0.5919344425201416,0.8678746819496155,0.8678746819496155
8,0.44743454456329346,0.47199130058288574,0.47199130058288574,0.39086630940437317,0.37699344754219055,0.37699341773986816
9,0.4427551329135895,0.4628077745437622,0.4628078043460846,0.7151567935943604,1.3083481788635254,1.3083481788635254
10,0.4353063702583313,0.4548805356025696,0.45488065481185913,1.263124942779541,3.3485476970672607,3.3485476970672607
11,0.4330997169017792,0.44483375549316406,0.4448337256908417,0.5440952181816101,0.7816941142082214,0.7816941142082214
12,0.4291788339614868,0.43596717715263367,0.43596723675727844,0.6958277821540833,1.1502728462219238,1.1502728462219238
13,0.4227813482284546,0.42218416929244995,0.4221840500831604,1.473264217376709,4.8358540534973145,4.8358540534973145
14,0.41419315338134766,0.40674081444740295,0.40674078464508057,0.592668354511261,0.9191309809684753,0.9191310405731201
15,0.40305644273757935,0.3847971558570862,0.3847971558570862,0.5733765363693237,0.9507675170898438,0.9507675170898438
16,0.3890940546989441,0.3638547956943512,0.3638547956943512,1.017645239830017,2.3951706886291504,2.3951706886291504
17,0.39961132407188416,0.3736260235309601,0.3736259341239929,0.6456292271614075,1.037189245223999,1.0371893644332886
18,0.39643824100494385,0.37249118089675903,0.3724912405014038,0.39082300662994385,0.38266444206237793,0.38266444206237793
19,0.3831082880496979,0.34545472264289856,0.34545472264289856,0.35042911767959595,0.28576892614364624,0.28576892614364624
20,0.38451191782951355,0.3525102138519287,0.3525102138519287,0.6350964307785034,0.9743370413780212,0.9743369817733765
21,0.377750426530838,0.33278051018714905,0.3327804207801819,0.34908443689346313,0.3215218186378479,0.3215218186378479
22,0.3677808940410614,0.32197728753089905,0.3219771683216095,0.4075723886489868,0.40841490030288696,0.40841490030288696
23,0.3635921776294708,0.31550198793411255,0.31550195813179016,0.3964995741844177,0.3890315890312195,0.3890315890312195
24,0.36460763216018677,0.31318140029907227,0.31318148970603943,0.5594302415847778,0.8498924970626831,0.8498924970626831
25,0.36941221356391907,0.3198374807834625,0.31983739137649536,0.6730391979217529,1.3372023105621338,1.3372024297714233
26,0.3619661033153534,0.30942821502685547,0.30942824482917786,0.4918983578681946,0.6013345718383789,0.6013346314430237
27,0.35860568284988403,0.2991066575050354,0.2991067171096802,0.31030958890914917,0.2421201765537262,0.2421201765537262
28,0.3486311733722687,0.28675296902656555,0.28675293922424316,0.34607937932014465,0.3042069673538208,0.3042069673538208
29,0.35258930921554565,0.29006028175354004,0.2900603115558624,0.7994286417961121,1.5401889085769653,1.5401891469955444
30,0.3471406102180481,0.2801034450531006,0.280103474855423,0.3487977087497711,0.3151521682739258,0.31515219807624817
31,0.3516533672809601,0.2904047966003418,0.290404736995697,0.5076246857643127,0.68970787525177,0.68970787525177
32,0.33584386110305786,0.26269158720970154,0.26269155740737915,0.7284998893737793,1.5504041910171509,1.5504043102264404
33,0.3330755829811096,0.25734421610832214,0.25734421610832214,0.608384370803833,1.0197428464889526,1.0197428464889526
34,0.34058594703674316,0.27150508761405945,0.2715050280094147,0.743266224861145,1.5011152029037476,1.5011154413223267
35,0.340552419424057,0.26668477058410645,0.26668474078178406,0.34003788232803345,0.2774069011211395,0.27740687131881714
36,0.3247876465320587,0.24476377665996552,0.24476374685764313,0.39013364911079407,0.4120093882083893,0.4120093882083893
37,0.32450225949287415,0.24580658972263336,0.24580657482147217,0.5276041030883789,0.7200222015380859,0.7200222611427307
38,0.32721060514450073,0.2448035031557083,0.2448035031557083,0.48796117305755615,0.5725613832473755,0.5725613832473755
39,0.32982316613197327,0.2472090870141983,0.24720913171768188,0.294842392206192,0.2212822586297989,0.2212822288274765
40,0.32744094729423523,0.24787718057632446,0.24787718057632446,0.33481714129447937,0.29386425018310547,0.29386425018310547
41,0.3192770183086395,0.23671242594718933,0.2367124706506729,0.29124221205711365,0.2158278226852417,0.2158278226852417
42,0.3264892101287842,0.24053888022899628,0.24053889513015747,0.6607165932655334,0.9983479976654053,0.9983479976654053
43,0.3255166709423065,0.24313591420650482,0.2431359440088272,0.5253666639328003,0.7756535410881042,0.7756535410881042
44,0.3179124593734741,0.22984430193901062,0.22984431684017181,0.3842707872390747,0.36391401290893555,0.36391398310661316
45,0.3166874945163727,0.22512342035770416,0.2251233458518982,0.28352659940719604,0.21338199079036713,0.21338197588920593
46,0.31190186738967896,0.22155636548995972,0.22155635058879852,0.3040641248226166,0.24016104638576508,0.24016104638576508
47,0.304897665977478,0.21220314502716064,0.21220315992832184,0.4939229190349579,0.6246097683906555,0.6246097087860107
48,0.3103269338607788,0.21951375901699066,0.21951372921466827,0.3256623446941376,0.2798328399658203,0.2798328399658203
49,0.30565568804740906,0.2151825726032257,0.2151826024055481,0.40558603405952454,0.43689802289009094,0.43689802289009094
50,0.30270180106163025,0.20899918675422668,0.2089991718530655,0.5076912045478821,0.6314376592636108,0.6314376592636108
51,0.303907185792923,0.21072237193584442,0.210722416639328,0.2729152739048004,0.19396397471427917,0.19396398961544037
52,0.3057722747325897,0.21474234759807587,0.21474237740039825,0.30546772480010986,0.23295485973358154,0.23295487463474274
53,0.29840072989463806,0.20336192846298218,0.2033618986606598,0.29130280017852783,0.2214241623878479,0.2214241772890091
54,0.29627496004104614,0.1983441859483719,0.19834420084953308,0.4004872739315033,0.42463287711143494,0.42463284730911255
55,0.2977176606655121,0.20112372934818268,0.20112374424934387,0.36353108286857605,0.30644693970680237,0.30644696950912476
56,0.294107586145401,0.19304583966732025,0.19304586946964264,0.28522536158561707,0.21944309771060944,0.21944309771060944
57,0.29685378074645996,0.19430428743362427,0.19430428743362427,0.2712302505970001,0.1842249035835266,0.1842249035835266
58,0.30089035630226135,0.20143267512321472,0.20143263041973114,0.6034659743309021,0.8822527527809143,0.8822528123855591
59,0.29514288902282715,0.19320529699325562,0.19320523738861084,0.26864171028137207,0.1909518986940384,0.1909518986940384
60,0.29682281613349915,0.19825224578380585,0.19825226068496704,0.3166639804840088,0.2555015981197357,0.2555015981197357
61,0.29026439785957336,0.1885647475719452,0.18856476247310638,0.5289227366447449,0.7241010665893555,0.7241011261940002
62,0.2893083393573761,0.18983328342437744,0.18983328342437744,0.2800392806529999,0.19759756326675415,0.19759757816791534
63,0.2981930375099182,0.1970849335193634,0.19708497822284698,0.32521262764930725,0.25366905331611633,0.25366905331611633
64,0.2983142137527466,0.2002561241388321,0.2002561241388321,0.26880863308906555,0.19049756228923798,0.1904975324869156
65,0.286728173494339,0.18510577082633972,0.18510577082633972,0.2682211697101593,0.19677317142486572,0.19677315652370453
66,0.2860412001609802,0.1830790936946869,0.18307912349700928,0.2781461477279663,0.19391833245754242,0.19391833245754242
67,0.2864152193069458,0.18035440146923065,0.18035440146923065,0.3336769938468933,0.3005886971950531,0.3005886673927307
68,0.28430742025375366,0.17736443877220154,0.17736443877220154,0.3146514296531677,0.2512485086917877,0.25124847888946533
69,0.27825063467025757,0.17154987156391144,0.17154987156391144,0.36881884932518005,0.3503901958465576,0.3503901958465576
70,0.2793368399143219,0.1724841445684433,0.1724841296672821,0.2956184446811676,0.20113486051559448,0.2011348456144333
71,0.281417578458786,0.17347963154315948,0.1734796166419983,0.3213234841823578,0.2536999583244324,0.25369998812675476
72,0.2803851068019867,0.17478413879871368,0.17478416860103607,0.4371362328529358,0.49157652258872986,0.49157652258872986
73,0.2844204008579254,0.17862176895141602,0.1786217838525772,0.374098002910614,0.35765892267227173,0.35765892267227173
74,0.28096893429756165,0.17651575803756714,0.17651578783988953,0.3233761191368103,0.2395823448896408,0.23958231508731842
75,0.289136677980423,0.18287236988544464,0.18287235498428345,0.49565353989601135,0.5931136012077332,0.5931136608123779
76,0.2768332362174988,0.16929395496845245,0.16929395496845245,0.3045128285884857,0.2186165601015091,0.2186165601015091
77,0.27269747853279114,0.16524142026901245,0.16524145007133484,0.24260738492012024,0.15683777630329132,0.15683777630329132
78,0.2705216407775879,0.16078561544418335,0.16078564524650574,0.3230777680873871,0.2506479024887085,0.2506478726863861
